ID,Date,tsID,ACTUAL,Temp,Saturday,Sunday
15672,01.01.2010,1,90468.0,22.5,0.0,1
15673,02.01.2010,1,92764.0,20.0,1.0,0
15674,03.01.2010,1,94791.0,21.0,0.0,1
15675,04.01.2010,1,98010.0,16.8,0.0,1
15676,05.01.2010,1,100975.0,19.2,0.0,1
15677,06.01.2010,1,103679.0,17.0,0.0,1
15678,07.01.2010,1,103584.0,17.6,0.0,1
15679,08.01.2010,1,104808.0,19.0,0.0,1
15680,09.01.2010,1,103419.0,15.5,1.0,0
15681,10.01.2010,1,103089.0,16.5,0.0,1
15682,11.01.2010,1,113773.0,12.0,0.0,0
15683,12.01.2010,1,114331.0,10.0,0.0,0
15684,13.01.2010,1,114302.0,8.9,0.0,0
15685,14.01.2010,1,113349.0,10.0,0.0,0
15686,15.01.2010,1,112573.0,13.5,0.0,0
15687,16.01.2010,1,104340.0,15.0,1.0,0
15688,17.01.2010,1,103418.0,14.5,0.0,1
15689,18.01.2010,1,112941.0,9.4,0.0,0
15690,19.01.2010,1,114890.0,11.0,0.0,0
15691,20.01.2010,1,115935.0,11.0,0.0,0
15692,21.01.2010,1,115744.0,12.0,0.0,0
15693,22.01.2010,1,115672.0,12.5,0.0,0
15694,23.01.2010,1,109273.0,14.0,1.0,0
15695,24.01.2010,1,106951.0,13.0,0.0,1
15696,25.01.2010,1,116671.0,7.8,0.0,0
15697,26.01.2010,1,118143.0,7.0,0.0,0
15698,27.01.2010,1,117429.0,8.7,0.0,0
15699,28.01.2010,1,117118.0,10.5,0.0,0
15700,29.01.2010,1,117018.0,9.5,0.0,0
15701,30.01.2010,1,109726.0,6.1,1.0,0
15702,31.01.2010,1,107948.0,6.4,0.0,1
15703,01.02.2010,1,115834.0,9.7,0.0,0
15704,02.02.2010,1,115681.0,11.0,0.0,0
15705,03.02.2010,1,114600.0,12.0,0.0,0
15706,04.02.2010,1,113958.0,11.9,0.0,0
15707,05.02.2010,1,114106.0,13.3,0.0,0
15708,06.02.2010,1,107524.0,16.6,1.0,0
15709,07.02.2010,1,103980.0,16.0,0.0,1
15710,08.02.2010,1,114286.0,16.0,0.0,0
15711,09.02.2010,1,113947.0,14.0,0.0,0
15712,10.02.2010,1,113224.0,11.5,0.0,0
15713,11.02.2010,1,112708.0,4.5,0.0,0
15714,12.02.2010,1,112543.0,4.3,0.0,0
15715,13.02.2010,1,105621.0,8.0,1.0,0
15716,14.02.2010,1,102607.0,12.0,0.0,1
15717,15.02.2010,1,113479.0,14.0,0.0,0
15718,16.02.2010,1,112750.0,2.0,0.0,0
15719,17.02.2010,1,112499.0,-5.5,0.0,0
15720,18.02.2010,1,113749.0,-8.5,0.0,0
15721,19.02.2010,1,113019.0,-4.0,0.0,0
15722,20.02.2010,1,104815.0,2.0,1.0,0
15723,21.02.2010,1,102753.0,5.2,0.0,1
15724,22.02.2010,1,104959.0,7.2,0.0,1
15725,23.02.2010,1,102780.0,8.5,0.0,1
15726,24.02.2010,1,112038.0,7.9,0.0,0
15727,25.02.2010,1,110495.0,2.0,0.0,0
15728,26.02.2010,1,110578.0,-2.5,0.0,0
15729,27.02.2010,1,106793.0,-2.9,0.0,0
15730,28.02.2010,1,96537.0,1.5,0.0,1
15731,01.03.2010,1,105660.0,7.5,0.0,0
15732,02.03.2010,1,105294.0,8.0,0.0,0
15733,03.03.2010,1,105746.0,8.0,0.0,0
15734,04.03.2010,1,105184.0,6.9,0.0,0
15735,05.03.2010,1,103585.0,7.5,0.0,0
15736,06.03.2010,1,95710.0,7.0,1.0,0
15737,07.03.2010,1,94195.0,7.5,0.0,1
15738,08.03.2010,1,93408.0,4.6,0.0,1
15739,09.03.2010,1,104182.0,6.5,0.0,0
15740,10.03.2010,1,103416.0,6.5,0.0,0
15741,11.03.2010,1,104342.0,5.0,0.0,0
15742,12.03.2010,1,103824.0,0.0,0.0,0
15743,13.03.2010,1,94922.0,2.0,1.0,0
15744,14.03.2010,1,92721.0,3.5,0.0,1
15745,15.03.2010,1,104485.0,2.5,0.0,0
15746,16.03.2010,1,103619.0,-1.9,0.0,0
15747,17.03.2010,1,104109.0,-3.6,0.0,0
15748,18.03.2010,1,103445.0,-5.6,0.0,0
15749,19.03.2010,1,103695.0,-7.5,0.0,0
15750,20.03.2010,1,96468.0,-6.0,1.0,0
15751,21.03.2010,1,92607.0,-2.5,0.0,1
15752,22.03.2010,1,103903.0,-1.0,0.0,0
15753,23.03.2010,1,104276.0,1.3,0.0,0
15754,24.03.2010,1,103333.0,0.3,0.0,0
15755,25.03.2010,1,102316.0,2.0,0.0,0
15756,26.03.2010,1,100925.0,-2.5,0.0,0
15757,27.03.2010,1,92491.0,-5.5,1.0,0
15758,28.03.2010,1,86571.0,-9.5,0.0,1
15759,29.03.2010,1,98579.0,-5.5,0.0,0
15760,30.03.2010,1,97389.0,-1.5,0.0,0
15761,31.03.2010,1,96104.0,-6.5,0.0,0
15762,01.04.2010,1,95505.0,-4.0,0.0,0
15763,02.04.2010,1,93666.0,5.4,0.0,0
15764,03.04.2010,1,86293.0,2.9,1.0,0
15765,04.04.2010,1,84157.0,1.5,0.0,1
15766,05.04.2010,1,93376.0,7.0,0.0,0
15767,06.04.2010,1,89364.0,5.7,0.0,0
15768,07.04.2010,1,88050.0,4.5,0.0,0
15769,08.04.2010,1,87999.0,-0.1,0.0,0
15770,09.04.2010,1,88854.0,4.0,0.0,0
15771,10.04.2010,1,82972.0,4.2,1.0,0
15772,11.04.2010,1,80734.0,-1.0,0.0,1
15773,12.04.2010,1,89721.0,5.0,0.0,0
15774,13.04.2010,1,91636.0,7.5,0.0,0
15775,14.04.2010,1,92860.0,6.5,0.0,0
15776,15.04.2010,1,92672.0,5.0,0.0,0
15777,16.04.2010,1,91546.0,3.0,0.0,0
15778,17.04.2010,1,84176.0,1.0,1.0,0
15779,18.04.2010,1,81440.0,6.0,0.0,1
15780,19.04.2010,1,90888.0,9.5,0.0,0
15781,20.04.2010,1,90299.0,6.5,0.0,0
15782,21.04.2010,1,88905.0,3.5,0.0,0
15783,22.04.2010,1,88720.0,3.5,0.0,0
